Category,Subcategory,ASIN,Item Description,Qty,Unit Retail,Ext. Retail,Product Class,GL Description,Seller Category,EAN,LPN,UPC,Brand,Condition,Pallet ID,Lot ID
BUILDING_AND_HARDWARE,Rough Electrical,B0FGK3XW8F,"B2855 2HP Pool Pump Motor Replaces Century/AO Smith Regal Beloit B855 Swimming Pool Pump Motors, 230V, 10A, 3450RPM 1.5KW 56Y Frame 1.1 SF Include Replace Parts, Single Phase Square Flange Leungoo",1,337.84,337.84,Home Improvement,Home Improvement,Electrical & Heating,,LPNNA6XKYXCHP,,LEUNGOO,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-68868,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Other Material Handling,B0BQW1YBD4,"VNN Portable Wheelchair Ramp 6FT, Seamless Non-Slip Aluminum Ramps for Wheelchairs for Home, Handicap Wheelchair Ramps for Home Steps, Aluminum Loading Dock Plates, Doorways",1,324.99,324.99,Home Improvement,Home Improvement,Building Materials & Ladders,,LPNNA6ZXGLC81,,VNN,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69644,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0DKHGWLGB,"ThermoMate Electric Tank Water Heater, 8.0 Gallon Point of Use Instant Small Hot Water Heater 120V 1440W, Wall or Floor Mounted, Plug-in to Use, UL Listed ES800",1,321.09,321.09,Home Improvement,Home Improvement,Home Improvement,0850066581056,LPNNA63NJ4YZS,850066581056,thermomate,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69648,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,"Door, Gate & Window Hardware",B0CZDXMRDK,Dual Door Magnetic Lock 1200lbs Holding Force Electromagnetic Lock 12V Fail Safe for Double Door Access Control System,1,311.99,311.99,Home Improvement,Home Improvement,Hardware,0769894490037,LPNNA6RXFPDGF,769894490037,YUANWIN,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69661,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Tubs and Showers,B09XM3QVLL,"Portable Bathtub for Adult- Extra Large 56"" Foldable Collapsible tub. Ergonomically Designed for the Ultimate Relaxing Soaking Bath, Ice Bath. Ideal for Small Spaces, Quick, Effortless Folding Bathtub",1,311.99,311.99,Home Improvement,Home Improvement,Plumbing Fixtures,0195893088607,LPNNA6KZWZHXW,195893088607,ELDERFLOWER & BERRIES,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69849,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0C7G5QBF6,"HermnJakk Black Wagon Wheel Chandelier 53-Inch 24-Light,Extra Large Round Rustic Farmhouse Chandelier Metal Circle Chandeliers for Dining Room Living Room High Ceilings",1,297.70,297.70,Home Improvement,Home Improvement,Home Improvement,,LPNNA6QJNKZVL,,HermnJakk,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69644,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Medicine Cabinets and Mirrors,B0FBL9W7TM,"IDYLLOR Black Bathroom Mirror Medicine Cabinet with Round Corner Framed Door 30 x 25.6 inch, Recessed or Surface Mount, with Adjustable Glass Shelves",1,285.86,285.86,Home Improvement,Home Improvement,Plumbing Fixtures,0762283936352,LPNNK5DXMLSNT,762283936352,IDYLLOR,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69172,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B09R3V24J9,"GOALPLUS Dusk to Dawn Outdoor Post Light Fixture, 24in High Bronze Post Lantern with Pier Mount, Exterior Pole Lighting with Seeded Glass for Yard, Garden, Patio and Pathway, 2 Pack, LMMS0519-M-2P",1,271.69,271.69,Home Improvement,Home Improvement,Home Improvement,0792933856167,LPNNA6713FK7J,792933856167,GOALPLUS,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69742,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Bath Ventilation Fans,B08MQSPQCL,"Panasonic WhisperWarm Ceiling Mount Bathroom Exhaust Fan with LED Light & Heater, 50-80-110 CFM, FV-0511VHL1",1,506.99,506.99,Home Improvement,Home Improvement,Rough Plumbing,0885170374188,LPNNA66DNTF6V,885170374188,Panasonic,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69172,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Medicine Cabinets and Mirrors,B0FGWX4CWB,"TETOTE 24 x 30 White Led Lighted Medicine Cabinet Mirror with 3-Color Lights, Wall Mount or Recessed Cabinet Mirror for Bathroom with Storage, Tempered Glass, 2 Outlets, Anti-Fog, Adjustable Shelf",1,376.99,376.99,Home Improvement,Home Improvement,Plumbing Fixtures,,LPNNA6CRD98CH,,TETOTE,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69685,AMZ_3PL_20260409_025
