Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHR308031,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Stainless Steel Water Bottle  - Periwinkle Twinkle,1,29.99,29.99,Owala,847280095735,92383260,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR245078,BICYCLES-PHYSICAL FITNESS,Owala 20oz SmoothSip Slider Coffee Tumbler - Tangy Tango Orange,1,29.99,29.99,Owala,847280095988,92383286,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,WARM BEV,irc_bicycles_physical_fitness_20260417_253_p
LPHR450040,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Stainless Steel Water Bottle - Hearth & Hand with Magnolia - Fruit Tart,1,29.99,29.99,Owala; Hearth & Hand with Magnolia,847280097302,93230583,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHS259362,BICYCLES-PHYSICAL FITNESS,Ignite by SPRI Resistance Cord - Ultra Heavy: Foam & Rubber for Legs & Arms,2,14.99,29.98,Ignite by SPRI,759026717262,53593889,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPJY968132,BICYCLES-PHYSICAL FITNESS,Schwinn Bike Training Wheels - Black,2,14.99,29.98,Schwinn,038675197060,80178023,United States of America,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,MISC. ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPHR077372,BICYCLES-PHYSICAL FITNESS,Champion Game-Ready Chug Bottle 40oz - Black,2,14.99,29.98,Champion,018713666093,94460514,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,SIDELINE,irc_bicycles_physical_fitness_20260417_253_p
LPJY970359,BICYCLES-PHYSICAL FITNESS,BlenderBottle 25oz Strada Stainless Steel Shaker Cup - Terrazzo Pint,1,27.99,27.99,BlenderBottle,840467308246,94894802,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,MIXER,irc_bicycles_physical_fitness_20260417_253_p
LPJY544961,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Stainless Steel Water Bottle - Can You See Me?,1,27.99,27.99,Owala,847280077830,91986197,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHS445702,BICYCLES-PHYSICAL FITNESS,"Nalgene 32 fl oz Plastic Wide Mouth Water Bottle - Marmalade: Portable Drinkware, Recycled Content",2,13.49,26.98,Nalgene,661195005883,93486449,United States of America,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,TRITAN,irc_bicycles_physical_fitness_20260417_253_p
LPHS596810,BICYCLES-PHYSICAL FITNESS,"Hand Recovery Handheld Massager Kit - All In Motion: TPR Material, Manual Power",2,13.00,26.00,All In Motion,018713658890,90364289,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,TT,PTAP16644,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
