row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
1957,33,Dash x Sweethearts Mini Waffle Maker Pink XOXO,,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137396361,4,9.99,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1958,34,LARQ 4pk Bottle Neon Handles (Please be advised that sets may be missing pieces or otherwise incomplete.),,LARQ,,MIXED_SMALL_APPLIANCES,USED_GOOD,,850032674768,2,17.99,SMALL APPLIANCES | WATER BOTTLES | SMALL APPLIANCES & FLOOR CARE-01,5.32,10.64
1959,35,"PUR Filtration Water Pitcher Replacement Filter: Reduces Chlorine & Odors, 40-Gallon Life, Blue, Plastic, 1 Piece",,PUR Filtration,,MIXED_SMALL_APPLIANCES,USED_GOOD,,723987703220,4,8.59,SMALL APPLIANCES | PT FILTERS | SMALL APPLIANCES & FLOOR CARE-01,2.54,5.08
1960,36,Sharper Image Dual Air Cordless Vacuum and Blower Purple,,Sharper Image,,MIXED_SMALL_APPLIANCES,NEW,,840397511495,1,31.99,FLOORCARE | HAND VACUUM | SMALL APPLIANCES & FLOOR CARE-01,9.46,18.92
1961,37,"Bodum Schiuma Milk Frother - Black: Handheld Frother Wand for Coffee, Battery-Powered, Stainless Steel & Plastic",,Bodum,,MIXED_SMALL_APPLIANCES,NEW,,727015012049,3,9.99,SMALL APPLIANCES | FROTHER | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1962,38,Dash Santa Mini Waffle Maker,,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137395944,3,9.99,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1963,39,Dash Mini Maker Waffle - Aqua,,Dash,,MIXED_SMALL_APPLIANCES,USED_GOOD,,856757006426,3,9.89,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,2.92,5.84
1964,40,Culligan with ZeroWater Technology 7 Cup Pitcher,,Culligan with ZeroWater Technology; ZeroWater,,MIXED_SMALL_APPLIANCES,USED_GOOD,,810136500332,6,24.99,SMALL APPLIANCES | PT SYSTEMS | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
1965,41,BISSELL Fresh Free & Clear Crosswave Multi-Surface Formula - 64oz,,BISSELL,,MIXED_SMALL_APPLIANCES,NEW,,011120283730,4,18.99,FLOORCARE | CLEANER/SHAMPOO | SMALL APPLIANCES & FLOOR CARE-01,5.62,11.24
1966,42,"Cuisinart 2qt Stainless Steel Stovetop Kettle Matte Black CKS-25MBK: Whistling Tea Kettle, Large Handle, Flip-Up Spout",,Cuisinart,,MIXED_SMALL_APPLIANCES,USED_GOOD,,086279240620,2,34.99,SMALL APPLIANCES | NON-ELECTRIC KETTL | SMALL APPLIANCES & FLOOR CARE-01,10.35,20.70
1967,43,Dash Reindeer Mini Waffle Maker,,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137395937,6,9.99,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1968,44,"Chefman 1.8L Lightning Borosilicate Glass Electric Kettle: Stainless Steel Lid, 1750W, Hand Wash, Silver & Black Accents",,Chefman,,MIXED_SMALL_APPLIANCES,SALVAGE,,810087848552,1,44.99,SMALL APPLIANCES | ELECTRIC KETTLES | SMALL APPLIANCES & FLOOR CARE-01,13.30,26.60
1969,45,"Dash Egg Bite Maker - Aqua: 4-Egg Cooker, Electric Egg Cooker, Dishwasher-Safe Parts, 420W, Aluminum & Plastic",,Dash,,MIXED_SMALL_APPLIANCES,USED_GOOD,,850004115657,2,21.99,SMALL APPLIANCES | EGG COOKER | SMALL APPLIANCES & FLOOR CARE-01,6.50,13.00
1970,46,Bodum Chambord 8 Cup 34oz Coffee Press Silver,,Bodum,,MIXED_SMALL_APPLIANCES,NEW,,727015995212,1,39.99,SMALL APPLIANCES | COFFEE PRESS | SMALL APPLIANCES & FLOOR CARE-01,11.83,23.66
1971,47,"Bodum 27oz Melior Goose Neck Electric Water Kettle Matte Black: Stainless Steel Tea Kettle with Ergonomic Handle, 1000W",,Bodum,,MIXED_SMALL_APPLIANCES,USED_GOOD,,699965399290,1,39.99,SMALL APPLIANCES | ELECTRIC KETTLES | SMALL APPLIANCES & FLOOR CARE-01,11.83,23.66
1972,48,Bodum Bistro 34oz Electric Water Kettle,,Bodum,,MIXED_SMALL_APPLIANCES,USED_GOOD,,699965187019,2,19.99,SMALL APPLIANCES | ELECTRIC KETTLES | SMALL APPLIANCES & FLOOR CARE-01,5.91,11.82
1973,49,"PUR Water Pitcher Replacement Filter - 3 Pack: Reduces Odors, Filters Chlorine & Mercury, 40 Gallon Life, Blue (Please be advised that sets may be missing pieces or otherwise incomplete.)",,PUR Filtration,,MIXED_SMALL_APPLIANCES,USED_GOOD,,723987703237,2,18.99,SMALL APPLIANCES | PT FILTERS | SMALL APPLIANCES & FLOOR CARE-01,5.62,11.24
1974,50,"Culligan CUSQIN Replacement Samsung (HAF-QIN) Refrigerator Water Filter: Filters Odors, Lead, Chlorine, VOCs, Microplastics",,Culligan,,MIXED_SMALL_APPLIANCES,NEW,,850031536180,1,34.99,SMALL APPLIANCES | FRIDGE FILTERS | SMALL APPLIANCES & FLOOR CARE-01,10.35,20.70
1975,51,Hoover Paws & Claws 128 fl oz Carpet Cleaner Solution - AH31933,,Hoover,,MIXED_SMALL_APPLIANCES,USED_GOOD,,073502522585,1,31.99,FLOORCARE | CLEANER/SHAMPOO | SMALL APPLIANCES & FLOOR CARE-01,9.46,18.92
1976,52,"Bodum Schiuma Milk Frother - Stainless Steel: Handheld Frother Wand for Coffee, Battery-Powered, Silver",,Bodum,,MIXED_SMALL_APPLIANCES,USED_GOOD,,727015012087,2,14.99,SMALL APPLIANCES | FROTHER | SMALL APPLIANCES & FLOOR CARE-01,4.43,8.86
1977,53,"FoodSaver Everyday Vacuum Sealer with Precut Bags: Best Food Vacuum Packer, White, 3-Year Warranty, Spot Clean",,FoodSaver,,MIXED_SMALL_APPLIANCES,NEW,,033413004419,2,99.99,SMALL APPLIANCES | FOOD SEALERS | SMALL APPLIANCES & FLOOR CARE-01,29.57,59.14
1978,54,LifeStraw Home Activated Carbon + Ion Exchange Replacement Filter 1pk (Please be advised that sets may be missing pieces or otherwise incomplete.),,LifeStraw,,MIXED_SMALL_APPLIANCES,NEW,,7640144284558,8,16.99,SMALL APPLIANCES | PT FILTERS | SMALL APPLIANCES & FLOOR CARE-01,5.02,10.04
1979,55,"Safe Home Lead in Drinking Water DIY Test Kit: EPA Standards Household Water Test, No Warranty",,Safe Home,,MIXED_SMALL_APPLIANCES,NEW,,850000063273,6,19.99,SMALL APPLIANCES | NEW - ACCESSORIES | SMALL APPLIANCES & FLOOR CARE-01,5.91,11.82
1980,56,"Bodum Schiuma Milk Frother - Stainless Steel: Handheld Frother Wand for Coffee, Battery-Powered, Silver",,Bodum,,MIXED_SMALL_APPLIANCES,NEW,,727015012087,7,14.99,SMALL APPLIANCES | FROTHER | SMALL APPLIANCES & FLOOR CARE-01,4.43,8.86
1981,57,LifeStraw Sip Reusable Steel Filter Straw with Carry Case Midnight Blue,,LifeStraw,,MIXED_SMALL_APPLIANCES,NEW,,7640144289119,3,27.49,SMALL APPLIANCES | STRAWS | SMALL APPLIANCES & FLOOR CARE-01,8.13,16.26
1982,58,Nespresso Aeroccino Milk Frother Black,,Nespresso,,MIXED_SMALL_APPLIANCES,USED_GOOD,,7630039649074,1,79.99,SMALL APPLIANCES | FROTHER | SMALL APPLIANCES & FLOOR CARE-01,23.65,47.30
1983,59,Dash Multi Mini Plate Storage Waffle Maker,,Dash,,MIXED_SMALL_APPLIANCES,USED_GOOD,,810137391076,5,12.74,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,3.77,7.54
1984,60,"Cuisinart 2-Slice Classic Toaster - Black Stainless Steel - CPT-160BKSP1: Bagel & Reheat Options, Self-Centering Slots",,Cuisinart,,MIXED_SMALL_APPLIANCES,USED_GOOD,,086279213761,1,59.99,SMALL APPLIANCES | 2 SLICE TOASTER | SMALL APPLIANCES & FLOOR CARE-01,17.74,35.48
1985,61,"Brita Water Filter 10-Cup Tahoe Water Pitcher Dispenser with Elite Water Filter - White: Easy-Fill Lid, Electronic Indicator",,Brita,,MIXED_SMALL_APPLIANCES,NEW,,060258506884,1,40.99,SMALL APPLIANCES | PT SYSTEMS | SMALL APPLIANCES & FLOOR CARE-01,12.12,24.24
1986,62,"Bodum Schiuma Milk Frother Pink: Handheld Frother Wand for Coffee, Battery-Powered Mixer, Stainless Steel & Plastic",,Bodum,,MIXED_SMALL_APPLIANCES,USED_GOOD,,699965602819,4,9.99,SMALL APPLIANCES | FROTHER | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1987,63,LifeStraw 18oz Go Series Water Filter Tumbler Aegean Sea,,LifeStraw,,MIXED_SMALL_APPLIANCES,NEW,,7640144289188,1,38.99,SMALL APPLIANCES | WATER BOTTLES | SMALL APPLIANCES & FLOOR CARE-01,11.53,23.06
1988,64,"Brita Tap Water Faucet Filtration System - Chrome: Filters Chlorine & Lead, Fits Most Standard Faucets",,Brita,,MIXED_SMALL_APPLIANCES,USED_GOOD,,060258356182,1,35.99,SMALL APPLIANCES | FM SYSTEMS | SMALL APPLIANCES & FLOOR CARE-01,10.64,21.28
1989,65,"Keurig Non-Rolling 24ct Coffee Pod Storage Drawer: Black Metal K-Cup Organizer, Freestanding Kitchen Rack (Please be advised that sets may be missing pieces or otherwise incomplete.)",,Keurig,,MIXED_SMALL_APPLIANCES,USED_GOOD,,611247369654,1,26.99,SMALL APPLIANCES | SGL SERVE ACCESSOR | SMALL APPLIANCES & FLOOR CARE-01,7.98,15.96
1990,66,Cuisinart 2.5oz Electric Coffee Grinder Black DCG-20BKN,,Cuisinart,,MIXED_SMALL_APPLIANCES,NEW,,086279102720,1,24.99,SMALL APPLIANCES | COFFEE GRINDER | SMALL APPLIANCES & FLOOR CARE-01,7.39,14.78
1991,67,Dash Deluxe Egg Cooker,,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137392820,1,26.49,SMALL APPLIANCES | EGG COOKER | SMALL APPLIANCES & FLOOR CARE-01,7.83,15.66
1992,68,"KitchenSmith by Bella 2 Slice Toaster: Black, Bagel & Bread Warmer, 750W, Compact Design, 2-Year Warranty",,KitchenSmith,,MIXED_SMALL_APPLIANCES,NEW,,829486120510,2,12.99,SMALL APPLIANCES | 2 SLICE TOASTER | SMALL APPLIANCES & FLOOR CARE-01,3.84,7.68
1993,69,Disney Dash 2pk Mickey Mouse & Minnie Mouse Removable Plate for the MultiMaker Mini Maker System (Please be advised that sets may be missing pieces or otherwise incomplete.),,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137395425,2,12.99,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,3.84,7.68
1994,70,"Brita Replacement Water Filters for Brita Water Pitchers and Dispensers - 4ct: Reduces Odors, 2-Month Filter Life (Please be advised that sets may be missing pieces or otherwise incomplete.)",,Brita,,MIXED_SMALL_APPLIANCES,NEW,,060258424324,1,20.99,SMALL APPLIANCES | PT FILTERS | SMALL APPLIANCES & FLOOR CARE-01,6.21,12.42
1995,71,"Enhanced Replacement Water Filters for Pitchers 2pk - up & up: Compatible with Brita Pitchers, Filters Benzene & Mercury (Please be advised that sets may be missing pieces or otherwise incomplete.)",,up&up,,MIXED_SMALL_APPLIANCES,USED_GOOD,,812501010989,2,9.99,SMALL APPLIANCES | PT FILTERS | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1996,72,"Keurig My K-Cup 3.0 Reusable Coffee Filter, Eco-friendly Gray",,Keurig,,MIXED_SMALL_APPLIANCES,USED_GOOD,,611247405246,2,9.99,SMALL APPLIANCES | SGL SERVE ACCESSOR | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1997,73,Dash Mini Waffle Maker - Lilac,,Dash,,MIXED_SMALL_APPLIANCES,USED_GOOD,,810051858662,2,9.89,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,2.92,5.84
1998,74,Brita Water Filter 6-Cup Denali Water Pitcher Dispenser with Standard Water Filter  Slate Gray,,Brita,,MIXED_SMALL_APPLIANCES,USED_GOOD,,060258509816,1,17.99,SMALL APPLIANCES | PT SYSTEMS | SMALL APPLIANCES & FLOOR CARE-01,5.32,10.64
1999,75,Sharper Image Desktop Cordless Vacuum White,,Sharper Image,,MIXED_SMALL_APPLIANCES,LIKE_NEW,,840397507238,1,15.99,FLOORCARE | HAND VACUUM | SMALL APPLIANCES & FLOOR CARE-01,4.73,9.46
