row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
1780,844,Frozen Kids' Roller Skate with Pad Set (Please be advised that sets may be missing pieces or otherwise incomplete.),,Frozen,,OUTDOOR_SPORTS,NEW,,192995514355,1,19.99,BICYCLES-PHYSICAL FITNESS | SKATES | BICYCLES PHYSICAL FITNESS,4.42,8.84
1781,845,Raskullz Kids' Bike Basket with Charms - Lavendar,,Raskullz,,OUTDOOR_SPORTS,USED_GOOD,,847268024603,1,19.99,BICYCLES-PHYSICAL FITNESS | KIDS ACCESSORIES | BICYCLES PHYSICAL FITNESS,4.42,8.84
1782,846,Tommie Copper Sport Compression Wrist Sleeve - S/M: Supports & Braces for Adults,,Tommie Copper,,OUTDOOR_SPORTS,USED_GOOD,,018713631763,3,6.19,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,1.37,2.74
1783,847,Blogilates Water Bottle Sling - Black,,Blogilates,,OUTDOOR_SPORTS,NEW,,850052976699,1,17.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.98,7.96
1784,848,Blogilates Water Bottle Sling - Pink Gingham,,Blogilates,,OUTDOOR_SPORTS,USED_GOOD,,850052976712,1,17.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.98,7.96
1785,849,Blogilates Water Bottle Sling - Peach: Polyethylene & Polyester Drinkware Accessory,,Blogilates,,OUTDOOR_SPORTS,NEW,,850028476888,1,17.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.98,7.96
1786,850,Blogilates Water Bottle Sling - Cream Floral,,Blogilates,,OUTDOOR_SPORTS,NEW,,850052976705,1,17.99,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.98,7.96
1787,851,"Master Lock 7.25"" U Lock with Looped End Cable: Bike Security",,Master Lock,,OUTDOOR_SPORTS,USED_GOOD,,071649283321,1,17.49,BICYCLES-PHYSICAL FITNESS | ACCESSORIES | BICYCLES PHYSICAL FITNESS,3.87,7.74
1788,852,Masterlock ULock Key - Black,,Master Lock,,OUTDOOR_SPORTS,USED_GOOD,,716492052556,1,16.99,BICYCLES-PHYSICAL FITNESS | LOCKS | BICYCLES PHYSICAL FITNESS,3.75,7.50
1789,853,BlenderBottle 24oz Strada Tritan Shaker Bottle - Green: Leakproof Shaker,,BlenderBottle,,OUTDOOR_SPORTS,USED_GOOD,,847280092604,1,15.99,BICYCLES-PHYSICAL FITNESS | MIXER | BICYCLES PHYSICAL FITNESS,3.53,7.06
1790,854,BlenderBottle 24oz Strada Tritan Shaker Cup - White,,BlenderBottle,,OUTDOOR_SPORTS,NEW,,840467308192,1,15.99,BICYCLES-PHYSICAL FITNESS | MIXER | BICYCLES PHYSICAL FITNESS,3.53,7.06
1791,855,BlenderBottle 24oz Strada Tritan Shaker Cup - Confetti,,BlenderBottle,,OUTDOOR_SPORTS,USED_GOOD,,840467308215,1,15.99,BICYCLES-PHYSICAL FITNESS | MIXER | BICYCLES PHYSICAL FITNESS,3.53,7.06
1792,856,40oz Stainless Steel Tumbler with Straw Light Blue - Embark,,Embark,,OUTDOOR_SPORTS,USED_GOOD,,197543649961,2,15.00,BICYCLES-PHYSICAL FITNESS | TUMBLER | BICYCLES PHYSICAL FITNESS,3.31,6.62
1793,857,"Posture Corrector Back Brace Stretcher - All In Motion: Nylon, 300lb Capacity",,All In Motion,,OUTDOOR_SPORTS,USED_GOOD,,018713658876,2,15.00,BICYCLES-PHYSICAL FITNESS | MUSCLE THERAPY | BICYCLES PHYSICAL FITNESS,3.31,6.62
1794,858,Owala 20oz Stainless Steel SmoothSip Travel Mug - Golden Quest,,Owala,,OUTDOOR_SPORTS,USED_GOOD,,847280094011,1,29.99,BICYCLES-PHYSICAL FITNESS | WARM BEV | BICYCLES PHYSICAL FITNESS,6.63,13.26
1795,859,Owala 24oz FreeSip Stainless Steel Water Bottle  - Periwinkle Twinkle,,Owala,,OUTDOOR_SPORTS,SALVAGE,,847280095735,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1796,860,Owala 24oz Stainless Steel FreeSip Water Bottle - In Good Company,,Owala,,OUTDOOR_SPORTS,NEW,,840467308345,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1797,861,Owala 24oz FreeSip Stainless Steel Water Bottle - Very Very Dark,,Owala,,OUTDOOR_SPORTS,USED_GOOD,,847280071920,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
1798,862,Owala 24oz FreeSip Stainless Steel Water Bottle - Sandy Shores,,Owala,,OUTDOOR_SPORTS,NEW,,847280085347,1,29.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,6.63,13.26
